age,job,marital,education,default,housing,loan,contact,day,month,duration,campaign,pdays,poutcome,y,month_new,job_new,marital_new,education_new,default_new,housing_new,loan_new,contact_new,poutcome_new,y_new,balance_new,duration_new
0,58,management,married,tertiary,no,yes,no,unknown,5,may,261,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,2143.0,261.0
1,44,technician,single,secondary,no,yes,no,unknown,5,may,151,1,-1,unknown,no,5,9,2,1,0,1,0,2,3,0,29.0,151.0
2,33,entrepreneur,married,secondary,no,yes,yes,unknown,5,may,76,1,-1,unknown,no,5,2,1,1,0,1,1,2,3,0,2.0,76.0
3,47,blue-collar,married,unknown,no,yes,no,unknown,5,may,92,1,-1,unknown,no,5,1,1,3,0,1,0,2,3,0,1506.0,92.0
4,33,unknown,single,unknown,no,no,no,unknown,5,may,198,1,-1,unknown,no,5,11,2,3,0,0,0,2,3,0,1.0,198.0
5,35,management,married,tertiary,no,yes,no,unknown,5,may,139,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,231.0,139.0
6,42,entrepreneur,divorced,tertiary,yes,yes,no,unknown,5,may,380,1,-1,unknown,no,5,2,0,2,1,1,0,2,3,0,2.0,380.0
7,58,retired,married,primary,no,yes,no,unknown,5,may,50,1,-1,unknown,no,5,5,1,0,0,1,0,2,3,0,121.0,50.0
8,41,admin.,divorced,secondary,no,yes,no,unknown,5,may,222,1,-1,unknown,no,5,0,0,1,0,1,0,2,3,0,270.0,222.0
9,29,admin.,single,secondary,no,yes,no,unknown,5,may,137,1,-1,unknown,no,5,0,2,1,0,1,0,2,3,0,390.0,137.0
10,53,technician,married,secondary,no,yes,no,unknown,5,may,517,1,-1,unknown,no,5,9,1,1,0,1,0,2,3,0,6.0,517.0
11,58,technician,married,unknown,no,yes,no,unknown,5,may,71,1,-1,unknown,no,5,9,1,3,0,1,0,2,3,0,71.0,71.0
12,57,services,married,secondary,no,yes,no,unknown,5,may,174,1,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,162.0,174.0
13,51,retired,married,primary,no,yes,no,unknown,5,may,353,1,-1,unknown,no,5,5,1,0,0,1,0,2,3,0,229.0,353.0
14,57,blue-collar,married,primary,no,yes,no,unknown,5,may,38,1,-1,unknown,no,5,1,1,0,0,1,0,2,3,0,52.0,38.0
15,60,retired,married,primary,no,yes,no,unknown,5,may,219,1,-1,unknown,no,5,5,1,0,0,1,0,2,3,0,60.0,219.0
16,33,services,married,secondary,no,yes,no,unknown,5,may,54,1,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,0.0,54.0
17,28,blue-collar,married,secondary,no,yes,yes,unknown,5,may,262,1,-1,unknown,no,5,1,1,1,0,1,1,2,3,0,723.0,262.0
18,56,management,married,tertiary,no,yes,no,unknown,5,may,164,1,-1,unknown,no,5,4,1,2,0,1,0,2,3,0,779.0,164.0
19,25,services,married,secondary,no,yes,no,unknown,5,may,342,1,-1,unknown,no,5,7,1,1,0,1,0,2,3,0,50.0,342.0
