age,day,campaign,pdays,month_new,job_new,marital_new,education_new,default_new,housing_new,loan_new,contact_new,poutcome_new,balance_new,duration_new,y
51,5,1,-1,5,1,1,1,0,1,0,2,3,26.0,79.0,0
45,19,1,168,11,4,0,1,0,1,0,0,2,644.0,418.0,0
58,15,1,-1,7,9,1,1,0,1,0,0,3,0.0,53.0,0
22,14,1,-1,4,8,2,1,0,0,0,0,3,107.0,125.0,0
30,28,6,-1,8,9,2,1,0,0,0,0,3,3.0,21.0,0
30,13,1,-1,5,0,2,1,0,1,0,2,3,1374.0,207.0,0
43,7,1,-1,7,4,1,2,0,0,1,0,3,460.0,94.0,0
28,5,1,-1,2,4,2,1,0,1,1,1,3,292.0,39.0,0
32,30,6,-1,7,7,1,1,0,0,1,1,3,-31.0,96.0,0
47,25,1,-1,6,9,1,1,0,0,1,2,3,80.0,100.0,0
31,29,4,-1,5,1,2,0,0,1,0,2,3,-502.0,76.0,0
33,12,1,-1,5,1,1,1,0,1,0,0,3,798.0,337.0,0
52,24,3,-1,4,0,1,1,0,0,0,0,3,722.0,60.0,0
33,13,1,-1,5,6,1,0,0,1,0,0,3,61.0,161.0,0
58,9,1,-1,4,5,1,1,0,0,0,0,3,2126.0,184.0,1
27,22,1,-1,7,4,1,2,0,1,0,0,3,1.0,152.0,0
32,9,2,-1,5,6,1,2,0,1,0,2,3,312.0,262.0,0
38,8,2,-1,8,9,2,1,0,0,0,0,3,1788.0,391.0,1
43,27,2,-1,5,9,1,1,0,1,0,2,3,2344.0,111.0,0
26,17,1,-1,7,2,1,1,0,1,0,0,3,-142.0,126.0,0
57,25,4,-1,8,3,1,0,0,0,0,0,3,1303.0,83.0,0
52,11,1,-1,8,9,1,1,0,0,0,0,3,989.0,356.0,1
30,22,2,-1,7,0,1,1,0,1,0,0,3,874.0,93.0,0
40,3,2,-1,6,8,2,1,0,1,0,0,3,595.0,406.0,1
49,3,5,-1,2,0,2,1,0,0,0,1,3,780.0,354.0,0
48,6,6,-1,8,4,0,2,0,0,0,0,3,249.0,293.0,1
34,13,2,-1,5,1,2,1,0,1,0,0,3,283.0,151.0,0
26,14,1,-1,8,1,2,1,0,0,0,0,3,535.0,125.0,1
26,13,2,-1,8,4,2,2,0,0,0,0,3,-8.0,402.0,1
30,17,3,-1,11,9,2,1,0,1,0,0,3,163.0,72.0,0
49,14,5,359,5,4,1,2,0,1,0,0,1,85.0,547.0,1
44,23,3,-1,5,1,1,0,0,1,0,2,3,-315.0,90.0,0
36,15,3,364,5,7,2,1,0,1,0,0,0,568.0,140.0,0
32,11,2,-1,5,9,2,1,0,1,1,0,3,271.0,271.0,0
58,15,4,-1,5,1,1,0,0,1,0,0,3,66.0,184.0,0
35,14,2,-1,5,1,1,1,0,1,0,0,3,2432.0,196.0,0
24,15,3,368,5,0,2,1,0,1,0,0,0,290.0,80.0,0
32,8,4,337,5,1,1,1,0,1,0,1,0,95.0,265.0,0
46,31,3,-1,7,4,1,3,0,1,0,0,3,876.0,11.0,0
30,14,2,-1,8,4,1,2,0,1,0,1,3,1384.0,60.0,0
26,4,2,-1,6,1,1,1,1,1,0,2,3,-82.0,23.0,0
36,15,2,-1,4,9,1,2,0,1,0,0,3,543.0,225.0,0
31,12,1,90,5,4,2,2,0,0,0,1,2,533.0,372.0,1
57,19,4,-1,8,5,1,0,0,0,0,0,3,3288.0,186.0,0
36,6,1,169,5,4,1,2,0,1,0,0,0,222.0,317.0,0
33,5,1,-1,8,9,2,2,0,0,0,0,3,0.0,122.0,0
35,17,1,-1,4,1,1,0,0,1,0,0,3,793.0,106.0,0
41,24,4,-1,7,7,0,1,0,1,1,1,3,1838.0,242.0,0
30,21,2,-1,8,4,1,2,0,0,0,0,3,0.0,142.0,0
50,20,2,164,11,9,1,2,0,0,0,0,0,3117.0,44.0,0
28,26,1,-1,5,9,2,1,0,1,0,2,3,289.0,83.0,0
51,21,1,-1,7,6,1,1,0,1,1,1,3,44.0,79.0,0
26,8,1,-1,7,4,2,2,0,0,1,0,3,122.0,160.0,0
30,21,1,184,11,4,1,1,0,1,1,0,0,-559.0,531.0,0
41,29,1,-1,7,10,2,1,0,0,0,0,3,295.0,509.0,1
